Date,Hour,Ontario Demand
2025-11-10,1,16084.0
2025-11-10,2,15488.0
2025-11-10,3,15220.0
2025-11-10,4,15072.0
2025-11-10,5,15033.0
2025-11-10,6,15039.0
2025-11-10,7,15430.0
2025-11-10,8,16801.0
2025-11-10,9,18129.0
2025-11-10,10,18643.0
2025-11-10,11,18594.0
2025-11-10,12,18594.0
2025-11-10,13,18594.0
2025-11-10,14,18737.0
2025-11-10,15,18563.0
2025-11-10,16,18625.0
2025-11-10,17,18918.0
2025-11-10,18,19199.0
2025-11-10,19,19731.0
2025-11-10,20,19641.0
2025-11-10,21,19337.0
2025-11-10,22,18898.0
2025-11-10,23,18186.0
2025-11-10,24,17436.0
2025-11-11,1,16295.0
2025-11-11,2,16102.0
2025-11-11,3,15670.0
2025-11-11,4,15392.0
2025-11-11,5,15230.0
2025-11-11,6,15319.0
2025-11-11,7,15867.0
2025-11-11,8,16958.0
2025-11-11,9,18007.0
2025-11-11,10,18277.0
2025-11-11,11,18271.0